0|0|4|9|2023-12-30 12:00
1|0|5|10|2023-12-29 13:30
2|0|6|11|2023-12-28 14:45
3|0|7|12|2023-12-27 15:20
4|0|8|13|2023-12-26 16:10
5|0|4|14|2023-12-25 17:00
6|0|5|15|2023-12-24 18:30
7|0|6|16|2023-12-23 19:15
8|0|7|17|2023-12-22 20:25
9|0|8|18|2023-12-21 21:05
10|0|4|19|2023-12-20 22:40
11|0|5|9|2023-12-19 10:00
12|0|6|10|2023-12-18 11:20
13|0|7|11|2023-12-17 14:00
14|0|8|12|2023-12-16 16:30
15|0|4|13|2023-12-15 18:45
16|0|5|14|2023-12-14 19:55
17|0|6|15|2023-12-13 20:10
18|0|7|16|2023-12-12 21:25
19|0|8|17|2023-12-11 22:15
20|0|4|18|2023-12-10 09:30
21|0|5|19|2023-12-09 10:45
22|0|6|9|2023-12-08 12:20
23|0|7|10|2023-12-07 13:55
24|0|8|11|2023-12-06 15:10
25|0|4|12|2023-12-05 16:25
26|0|5|13|2023-12-04 17:40
27|0|6|14|2023-12-03 18:55
28|0|7|15|2023-12-02 20:10
29|0|8|16|2023-12-01 21:25
